中文名称,,英文名称,博物馆简介,地理位置,所属省份,所属城市,建造时间,占地面积,博物馆类别,联系电话,相关历史人物或故事,藏品种类,藏品数量,代表藏品名称,代表藏品基本信息,开放时间,门票价格,游玩时长,游玩季节,公交路线,经度,纬度,,,,,,,,,,,,,
洛阳围棋博物馆,,"
Luoyang Weiqi Museum ","
洛阳围棋博物馆是洛阳市首批民营博物馆之一，是我国第一个关于围棋文化的专题性博物馆，也是规模最大的围棋文化博物馆。","洛阳市老城区机场
路12号",河南省,洛阳市,"
2012年 ",20000,文化,0379-62268268,"洛阳是中国围棋的发源地之一，出土了大量与围棋有关的
文物遗存，例如定鼎门遗址的出土文物中就包含
大量唐代围棋子，而在老城新街，还出土过大量宋代
制作棋子时所遗留的带冲孔贝壳，这些都可以证明，洛阳
在古代就是围棋活动及生产的重地。","外围棋名人的画像、文史资料、经
典棋谱；棋具、奖杯、奖状以及与
围棋相关、具有收藏价值的书画、
诗词、民间工艺品",30000,"
汉代手磨石头棋子",东汉时代石棋盘，说是象棋吧，象棋十字在中间；说是围棋吧，又多了两个斜线，而且这盘上有米字，还有一道斜线，所以这是待研究的盘。北京出土了一套汉代的汉白玉棋盘带棋子，据说那是目前出土最高档的，正面是围棋盘，反面就类似这个博局，说明这在当时也是很盛行的游戏。汉代手磨玉石围棋，是国宝级的东西，非常珍贵，这些手磨的痕迹非常清楚。据说，当时，老百姓下棋时，用的多是大小相似、深浅不一的小石子；而达官贵人用的棋子和棋盘，既能放平稳又美观，下棋还能得心应手，这是很不容易做到的，全国都很少见，这是全国仅有的几枚手磨痕迹最明显的玉石围棋子,"上午9:00-11:30，下午14:30-16:30
全年开放（周一闭馆）",免费,1小时内,四季皆宜,暂无,112.4339805,34.71511648,,,,,,,,,,,,,
洛阳周氏银器博物馆,,"
Luoyang Chow silverware Museum ",洛阳周氏银器博物馆位于十三朝古都洛阳市的涧西区，是我国第一个银器类的专题性博物馆，是全国唯一一家收藏古代银器最齐全的博物馆。洛阳周氏银器博物馆藏品3000余件套，展品远溯战国汉唐、近揽明清民国。博物馆展品丰富、品种齐全、工艺精湛、富丽典雅，旨在人们进一步认识和了解中国银器文化的内涵和民俗特色。,"洛阳市涧西区南昌
路顺驰城1号",河南省,洛阳市,"
 2012年4月 ",500,"
历史",0379-64618887,"这些展品，或地藏或传世，经历了千百年的人世变迁，
黒锈斑斑，银光闪闪，带着古老的风韵，带着当年
的辉煌，明显的时代烙印，浓厚的生活气息，绝美的
工艺表现，无不体现着中国民间银器的无限风采。它们
是中华民族银器文化的缩影；是华夏银器文化原貌
的复活，是一部历史的绝美画卷。",银器,3000,"明代龙凤纹酒壶

","此壶重955克，高32厘米，以凤头
为嘴、龙身为把手，形成了“龙凤
呈祥”之景观；壶嘴、壶把之间的
一条小龙与龙把上的龙头相对，恰
似“二龙戏珠”的图案；壶腹中间
的镂雕银质“寿”字和圈外的5只
蝙蝠环抱，组成了“五蝠捧寿”的
画面；腹中“寿”字与紫檀木外圈
的24个葵花花瓣结合，“葵花向阳
的轮廓跃然眼前。",上午8:30-12:00，下午14:00-17:00,免费,2-3小时,四季皆宜,"市区可乘坐70路、35路、
25路、20路、2路、7路
公交车到达",112.0890593,34.13658746,,,,,,,,,,,,,
洛阳河洛石文化博物馆,,Luoyang Heluo Stone Culture Museum,洛阳河洛石文化博物馆是洛阳市首批的8家民营博物之一，也是洛阳第一家私人奇石博物馆。由中国观赏石协会副会长、中国收藏家协会赏石委员会副主席张建升先生斥资建立，2012年开馆，建筑面积600余平方米。馆中展示的奇石以河洛地区石种为主，包括牡丹石、黄河石、河洛石等。,"
洛阳市瀍河区 ",河南省,洛阳市,"
2012年 ",600,综合,0379-63966888 ,"闫振堂会长积极评价民间博物馆的成立，认为这是洛阳
市民间收藏事业的大发展，是收藏家们回馈全社会、
全人类的财富。",石刻、奇石、书画,2216,大唐第一花,"　　此石的珍贵之处在于首先它是
一方河道原石，没有经过任何加工，是自然形成的；其次是它身上偶然天成的红色，红色的牡丹原石非常罕见，可谓是极品。

",10：00-21：00，全年开放,免费,2小时内,四季皆宜,"市内乘22路公交至民俗博物馆站牌下车即到
",112.495168,34.68533,,,,,,,,,,,,,
洛阳唐三彩陶艺博物馆,,Luoyang tri colored pottery museum,洛阳唐三彩陶艺博物馆是一一家以唐三彩为主题的专题性博物馆。位于河南省洛阳市中心经济区，王城公园西门对面，博物馆以仿唐风格设计，典雅大气、严肃庄重。馆内汇聚了唐代时期各种经典造型的唐三彩，这些作品主要分为四大类：人物、马匹、骆驼、器皿。传承三彩艺术，弘扬民族文化，展示唐三彩发展成就，促进以唐三彩为龙头的文化事业与文化产业的可持续发展，是创办洛阳唐三彩博物馆的根本宗旨。馆内现有文物真品10余件，以汉代到宋元时期的陶瓷珍品为主，真实而形象地展现了唐三彩从起源、兴盛到衰落的发展历程；同时还有高馆长精心制作的高仿作品180余件，人物、马匹、骆驼、器皿均有涉及，全面展现了盛世大唐的风采。,"
河南省洛阳市西工区涧东路3号 ",河南省,洛阳市,"
2011年",暂无,"
历史",0379-63341918,馆内拥有一批流失海外的“作品”，这些作品是馆长高水亲赴美国、德国、日本等地通过各种摄影器材将文物原型记录下来，回国后将其复制出来，以这样的方式将宝“带”回来的。,"人物、马匹、骆驼、器皿类型唐
三彩",190,《中国马》,"此作品是作者按照文物真品比例采用传统
手工技艺制作、经柴窑烧制而成的唐三彩
高仿艺术品。该马白色胎质，通体施以黑
釉，鞍饰用经典的黄绿白三色加以点缀，
在庄重中透露清新，大气里散发高贵。
马匹鞍饰俱全，雕饰华丽，马鬃齐整，
额鬃分流，双耳后抿，颈若弯弓。神满
气足，膘肥体壮，四肢劲键，似走欲奔。
唐代时期，黑色釉料来自于西域，非常
稀有名贵，专供皇家贵族所用，该马通
体施以黒釉，可见该马原型在当时之尊
贵。真品创作于盛唐时期，1977年洛阳市关林唐墓遗址出土，业界为之震惊，堪称绝世珍品，誉称“中国马”，",9:00—19:00，全年开放（周一闭馆）,免费,1小时内,四季皆宜,"市区乘10路公交车下车
即到",112.427613,34.66940899,,,,,,,,,,,,,
洛阳牡丹瓷博物馆,,Luoyang Peony porcelain Museum,"洛阳牡丹瓷博物馆2012年2月，由市文物局、市民政局批准成立。是洛阳首批8家民营博物馆之一。2012年5月5日，洛阳牡丹瓷博物馆在洛阳市牡丹宫揭幕，标志着国内首家牡丹瓷博物馆正式成立。洛阳牡丹瓷博物馆已被认定为“国家文化产业示范基地”和“洛阳工业旅游标准化示范基地”。
2013年8月，洛阳牡丹瓷博物馆搬迁至洛阳老城区丽景门，并重新开馆。 ","河南省洛阳市洛
龙区安乐镇 ",河南省,洛阳市,"
2013年8月",3000,文化,0379-63286777,2012年5月5日，洛阳牡丹瓷博物馆在洛阳市牡丹宫揭幕，标志着国内首家牡丹瓷博物馆正式成立。洛阳牡丹瓷博物馆已被认定为“国家文化产业示范基地”和“洛阳工业旅游标准化示范基地” ,"宋代牡丹纹瓷枕、红绿彩牡丹碗、
牡丹绢绣、洛阳牡丹瓷",暂未找到,艳珠争润,"长50cm，宽50cm。作品以荷花为题，
夏日清风，碧波荡漾，如诗曰 “翻风
舞影层层碧， 别是柔情一种幽”，蓝
色荷花在绚丽的色彩之下显得高贵典
雅，争先恐后的生长也表现出了极强
的生命力，丝毫不失荷花清廉的尊贵
之态，传达了一种美好的祝愿，瓷韵
花魂，亘古美丽。","上午08:30—12:00，下午14:00—17:30
周一到周六开放（周日、法定节假日闭馆）
",免费,1-2小时,四季皆宜,"市内乘坐15路、33路、53路、55路、57路、58 路、65路、66路、69路、76路、81路、92路、93路公交车在鑫华化工防水市场站（龙门大道乐天路口站）下车，向东1000米路北牡丹宫即到
",112.4933064,34.6484325,,,,,,,,,,,,,
洛阳驿站博物馆,,"
Luoyang Station Museum ","
洛阳驿站博物馆是洛阳市首批民营博物馆之一，是我国第一个关于驿站文化的专题性博物馆，也是目前为止规模最大的驿站博物馆。洛阳驿站博物馆以洛阳历史名驿——周南驿为蓝本，展示邮驿文化、馆驿文化、官府文化。馆内收藏各类石雕、木雕、古家具、古匾等文物217件，洛阳驿站博物馆是中外游客领略河洛文化和馆驿文化的重要场所，也是展示洛阳文化的一颗明珠。","洛阳新区政和路
与金城寨街路口 ",河南省,洛阳市,"
2012年4月6日 ",暂无,文化,0379-65998888 65550111,"我国是世界上最早建立组织传递信息的国家之一，邮
驿历史虽长达3000多年，但留存的遗址、文物并
不多。周南驿是中国历史上最早的驿站之一。","各类石雕、木雕、古家具、古匾
等文物",2000,鼓楼,"是驿站的标志性建筑，鼓楼在当时有三大
功能：站岗远望、值更报时、传鼓报捷。沿楼梯而上，仿佛能听见明代那驿道急促的鼓声，再望四方，万千景象尽收眼底：揽进河湖，渔帆点点，高塔耸立；在观平畴，禾稼葱葱，绿野无边；南看通衢，车轮浓浓，昼夜不息；日新月弄，真令人心旷神怡。",上午9：00-11:30，下午14:30-18:00，全年开放,免费,2-3小时,四季皆宜,"乘坐37路、70路丹尼斯站下车
",112.452227,34.627874,,,,,,,,,,,,,
洛阳三彩艺术博物馆,,Luoyang tricolor Art Museum,物馆将采用现代化的展示设备及展示方式，既能够使观众近距离清晰地观瞻洛阳三彩艺术，又能够给观众提供体验三彩工艺的实践操作，进一步发扬洛阳三彩艺术，使洛阳三彩艺术广泛流布，为洛阳文化产业和洛阳国际旅游文化名城建设服务。,"
洛阳市老城区金叶路丽景门瓮城内 ",河南省,洛阳市,"
2012年3月 ",600,文化,0379-63980979,“洛阳三彩艺术博物馆”以中国陶瓷艺术大师郭爱和创立的“洛阳三彩”学说（在三彩前冠以“洛阳”二字，明确地体现出洛阳是三彩发源地的地理属性，涵盖“唐三彩”及其它三彩艺术，体现三彩这一艺术体系的历史演变过程）为基础，并以其二十多年来的“三彩艺”釉画作品及不同时期的“洛阳三彩”藏品为主体，使公众对“洛阳三彩”有全面及全新的了解：洛阳三彩——“流光溢彩烁古今”。,洛阳三彩,暂未找到,"
三彩载丝骆驼 ","该骆驼通体主施黄釉，头顶、驼峰、颈
下、前肢上部及驼尾施白釉。骆驼呈昂首嘶鸣状，牙齿和舌头刻画的栩栩如生，四肢劲健有力、力量十足；骆驼背垫彩毯，峰驮兽囊，载有水壶、食品、丝绸等物，执着跋涉于“丝绸之路”。",8:00-22:00 (1月1日-12月31日 周一-周日),免费,1小时内,四季皆宜,"市区可乘坐20路、45路、58路、22路、53路、4路、101路、16路、49路、65路、18路、8路、9路、5路公交车到达
",112.443703,34.63021298,,,,,,,,,,,,,
洛阳金石文字博物馆,,uoyang Jinshi character Museum,洛阳金石文字博物馆成立于2012年3月，是继中国文字博物馆后唯一一家由民营资本创建的文字类专题博物馆，由朱晓杰、朱晓辉两兄弟斥资兴建，位于洛阳市龙门大道1号（中国国花园内）。博物馆主要从事文字类文物的收藏、保护、研究、展示和交流，展馆内采用实物资料和图文解说等形式，布展内容大体按照汉字史的序次排列，主要以两汉、魏晋、隋唐、宋元、等成熟期文字为主。现有文字类文物及标本2000余件，涵盖了中华文明不同的历史时期、不同的历史地域，是研究中国古代翰墨文章、书法艺术的资料宝库。,"
洛阳市龙门大道1号（中国国花园内）",河南省,洛阳市,"
2012年3月 ",暂无,历史,18739085858 13643887347,洛阳金石文字博物馆是唯一一家民营资本创建的文字类专题博物馆,汉晋刻文砖铭、北魏削文瓦铭、历代碑刻及金石学史料等,2000,东汉刻文砖铭,"系以汉代素面废弃城砖为材质，以某种
利器自右向左单刀刻成，这种刻法使砖文在很大程度上失去了笔墨韵味，形成了一种刚劲秀挺、质朴自然的金石味。与当时碑刻上的隶书不同，它没有蚕头燕尾的变化，也无明显的波磔用笔，更不具备像《熹平石经》、《礼器碑》、《曹全碑》等那种左右规矩、法度森严的风貌，这是一种既不同于汉代碑刻又不同于简牍帛书的隶书书体，是一种纯使用的、未加修饰的书法风貌，其唯一的书写意识就是从简，这也是形成这些砖铭天真质朴、自然洒脱的重要原因。",上午8:30—12:00，下午14:00—18:00，全年开放（周一闭馆）,免费,2-3小时内,四季皆宜,"乘33路、52路、53路、55路、57路、58路、61路、65路、66路、69路、76路、78路、81路、93路到洛阳桥南龙门大道果园路口下车进入中国国花园向西150米即到
",112.473437,34.66787548,,,,,,,,,,,,,
洛阳爱心书法博物馆,,"
Luoyang love calligraphy Museum ",洛阳爱心书法博物馆由刘毓国创建，于2012年4月9日正式开馆，洛阳市政府授牌成立的第一批八家民营博物馆之一，是洛阳第一个关于书法类的专题性博物馆。洛阳爱心书法博物馆开馆后，将成为融墨迹收藏、艺术展览与拍卖、艺术创作与交流、旅游观光为一体的艺术平台。洛阳爱心书法博物馆将成为传承中华文化的桥梁，传播书法艺术的基地传达爱心义举的纽带，成为更多书法爱好者的精神家园,"
洛阳市中州中路399号 ",河南省,洛阳市,"
2012年4月9日 ",3000,文化,13937997778,"洛阳市老城区刘毓国经过一年多的筹备，成立了“洛阳爱
心书法博物馆”，该馆成为洛阳市政府授牌成立的第一批八家民营博物馆之一",书法作品,2000,书法家张海的作品,暂无,"9：30—17：00，全年开放（周一
闭馆）",免费,2小时内,四季皆宜,市区乘39路、95路公交车,112.4445858,34.6763513,,,,,,,,,,,,,
洛阳唐艺金银器博物馆,,Luoyang Tang art gold and silver Museum,洛阳唐艺金银器博物馆于2012年2月获得河南省文物局审批，2012年4月中国牡丹文化节期间挂牌成立。洛阳唐艺金银器博物馆位于洛阳市洛龙区白马寺附近，唐艺金银器博物馆收藏金银器具之多、器具跨历史年代之久、文物不同的领域风格特色，历史阶段工艺文化的博大精深。洛阳唐艺金银器博物馆是洛阳首批民办博物馆之一，是由洛阳市收藏家王亚强集多年收藏所创办。该馆是河南省首家以金银器为特色的专业性民办博物馆。,"洛阳市洛龙区白马
寺镇白马寺寺院西侧50米",河南省,洛阳市,"
2012年4月 ",展厅两层,文化,0379-63780203,"洛阳唐艺金银器博物馆于2012年2月获得河南省文物局审
批，2012年4月中国牡丹文化节期间挂牌成立。洛阳唐艺金银器博物馆位于洛阳市洛龙区白马寺附近，是河南省首家以金银器为特色的专业性民办博物馆。",金银茶具、饮食器具、古代饰品等,200,兽面纹金牌饰,"长101毫米，宽76毫米，重97克，兽脸
阔，舌短、似桃形，顶端呈“山”字造型，造型别致，纹理清晰，是发现的为数稀少且独具特色的战国时期金器代表。","上午9：00-11:30，下午14:30-18：00
全年开放
",免费,1小时内,四季皆宜,"56、58、87、91路公交车白马寺站下车即到
",112.6076443,34.7282336,,,,,,,,,,,,,
洛阳真不同水席博物馆,,Luoyang really different water mat Museum,洛阳真不同水席博物馆是我第一个关于饮食的专题性博物馆，也是目前为止规模最大的水席博物馆，洛阳水席始于唐代，历经1300多年，是中国迄今保留下来历史最久远的名宴之一，与龙门石窟、洛阳牡丹并称为“洛阳三绝”。,"洛阳市老城区中州东
路359号洛阳市老城区中州东路359号",河南省,洛阳市,"
2013年3月30日 ",400,"
文化",0379-63955787,"洛阳水席始于唐代，已有1300多年的历史，是迄今为止保留下来最古老、洛阳真不同水席博物馆(20张) 
特色、最完整的一套宴席。由于它隆重典雅、风味独特、选料广泛精细、烹制极为讲究、味道鲜美多样，口感舒适爽利，博得古今中外宾客赞誉，多年来真不同饭店广大厨师在继承传统烹饪技艺的基础上，积极开拓，潜心研制，对洛阳水席的品种和结构进行提升改造，使之更臻丰富完美。,所谓水席有两层含义:一是,道道菜离不开汤水;其二是,上一到撤一道,如行云流水一般,故叫水席.",名人字画和碗盏樽碟,400,洛阳水席仿真宴席展柜,"让人们能够从不同角度了解洛阳水席文
化","上午10：30-14：30，下午16：30-20：00
全年开放（周一闭馆）
",免费,1-2小时,四季皆宜,"5路、9路、18路、41路、
42路、53路、58路等",112.483989,34.68907296,,,,,,,,,,,,,
洛阳动漫博物馆,,Luoyang Museum of Animation,中国第一家以计算机、动漫为主题的民营博物馆,"洛阳市涧西区西苑
路48号河南科技大学西苑校区北院10号楼",河南省,洛阳市,2015/4/20,"
2400",行业,13938836963,"2014年4月20日洛阳动漫博物馆与河科大软件学院签订无
偿捐赠意向协议书，知名企业家王长义决定将洛阳动漫博物馆无偿捐赠给河科大软件学院。2014年7月2日，河科大软件学院开始实施洛阳动漫博物馆搬迁建设，并在此基础上创建了河科大动漫专业教育基地。截止2015年4月20日，各项建设工作已基本就绪，洛阳动漫博物馆重新开馆。","动漫邮票，动漫文献史料，动漫大
师珍贵手稿和各国动漫角色手办",8,十二生肖俑,"亦称十二生辰俑。是代表地支的十二种动
物俑。常见于隋、唐、五代及宋墓中。隋唐时期胎质多为灰陶、红陶，亦有青瓷制品。俑的形像，其中有的是人俑带生肖，十二种动物前足攀在人俑头上，后足踏在肩上；有的是人身生肖头，有的是人捧生肖。其姿态有的是立姿，有的为坐姿。",上午8：30~11:30；下午1:30~5:00；周一闭馆 ,免费,2-3小时,四季皆宜,"市区可乘75路、101路、70路在河南科技大学附近下车，步行即到
",112.380651,34.67136797,,,,,,,,,,,,,
洛阳龙门博物馆,,"
Longmen Museum ",建造于这一灵秀之地的龙门博物馆以佛教为专题，主要收藏、展示、研究佛教文化器物。,"洛阳市龙门石窟世
界文化遗产园区北
入口",河南省,洛阳市,2003年,10000,"
文化",0379-69928089,"中华文明肇自河洛，河洛文明悠久辉煌；中国佛教迄自东
汉北朝极盛，唐集大成；洛阳欤，有力焉！龙门博物馆以收藏、保护、研究、展示中国佛教艺术，特别是龙门石刻艺术为主，同时极力宣扬河洛文明。",重要佛教文化遗存，造像，题记,10000,陶楼,"此藏品为东汉文物。分为主楼与副楼。
主楼前用墙围成院落，前墙中部有一横长方形大门，置双扇门扉。两侧有凸起的门框，并各出一挑梁，上置斗拱。前墙两角各出一柱，柱头上做出对称的双阙形式，阙置四阿顶，覆瓦垄，顶下作成叠涩倒方锥形。",每日9：00—17：00，全年开放,免费,3-4小时,四季皆宜,"乘坐81、60、53、99路公
交车到龙门石窟终点站",112.4833263,34.56808325,,,,,,,,,,,,,
洛阳老雒阳饮食文化博物馆,,"Luoyang Laoluoyang Food Culture Museum
",洛阳老雒阳饮食博物馆馆长王天喜介绍，作为我市21家经省文物局批准设立的专业性博物馆之一，其中有不少是我们平时难得一见的老祖宗吃饭的家什，让人感受到中华饮食文化的渊远流长和博大精深，饮食文化是河洛文化的重要组成部分。,"涧西区青岛路与西苑
路交会处",河南省,洛阳市,2013/11/2,560,历史,0379-64935666,"这些历经沧桑的传世藏品，展示了古人在饮食生活方面的
睿智和讲究，体现了中华饮食文明的源远流长和博大精深。","石器、铜器、陶器、瓷器、玉器、
银器、铁器、木器、漆器和竹器等
10大类",623,彩绘四层木制食盒,彩绘四层木制食盒,上午10：30-14：30，下午16：30-20：00全年开放,免费,2-3小时,四季皆宜,14路，63路，70路，75路,112.3919691,34.66495788,,,,,,,,,,,,,
洛阳老龙门农家博物馆,,"Luoyang Old Longmen Farm Museum

","洛阳老龙门农家博物馆以洛阳老龙门农家饭庄为支撑，主体藏品以“农”为主，事关民生的农具、农产品、农作物，它是河南省内第一家以农业为主博物馆。 
","洛龙区龙门大道
西古龙路(原李屯路)
与龙门大道交叉口西50米",河南省,洛阳市,2013/8/1,28666,行业,"0379—65950666
13526955558","该馆主要从事农业、民俗、餐饮等相关藏品的收藏、
保护、研究、展示和交流。布展藏品以“农”为主，展
示农耕文明中的百姓生活，突出农耕文化特点和器物制作成就。","农具、农产品、
农作物",1000,司马秤,司马秤也叫戥(děng)子，在清代流行，一种小型的秤，是旧时专门用来称量金银等贵重物品和香料的精密衡器。戥子是按1斤等于16两设计的，因用料考究，做工精细，技艺独特，很受收藏爱好者的青睐。,9:30—14：00，16:30—21:00,免费,3-4小时,四季皆宜,"60路、53路、81路、87路
等公交车在龙门海洋馆站下
车，向西50米",112.480944,34.597034,,,,,,,,,,,,,
洛阳古典红木家具博物馆,,"uoyang Classical Mahogany Furnitu
re Museum
","洛阳古典红木家具博物馆总投资8900万元，建筑面积3200平方米，馆内展品以明清、民国传统红木家具和新古典红木家具为主。拥有明清古典红木家具藏品200余件、新古典红木家具1000余件，馆内6件明清展品被省文物局鉴定为国家三级文物。
","河南省洛阳市瀍河回
族区G310",河南省,洛阳市,2013/8/1,3200,"
文化","0379—6086106
6","该馆以弘扬中国传统文化为理念，以中国古典红木家
具、尤其是明清时期红木家具和新古典红木家具为主要展示内容，展示中国明清时期传统家具制作艺术和家具文化，并通过定期举办专题讲座、举办洛阳红木家具展等方式，搭建一个古典红木家具欣赏、交流的平台，弘扬和展示传统家具文化。","明清、民国传统红
木家具和新古典红木家具",1200,清黄花梨茶几,"明清传统红木家具集中国传统建筑
榫卯结构和古代书画及雕刻艺术于
一体，更融入儒学与禅理的内涵，
实现了审美与实用的高度统一，
达到了空前的艺术境界，享誉国内
外，成为我国家具史上的巅峰。明
清家具以贵重的紫檀、酸枝、鸡翅
黄花梨等红木为原料，纹理优美、
色彩庄重，书画、雕工俱佳，有
朴实自然之美，历来是名流雅士收
藏传世的首选珍品。",9：00—17：00,免费,1-2小时,四季皆宜,"乘87路、91路、56路、58
路公交车到陈村站下车，向西200米，路北",112.5424431,34.71495306,,,,,,,,,,,,,
洛阳树威古瓷鉴藏博物馆,,"Luoyang Shuwei Ancient Porcelain
 Collection Museum
","馆内较全面地展出了明清民间
瓷器的主要种类，系统地展出
了明代各朝的民窑瓷器，系列
化地展出了清代至民国的瓷器
并在全国首次展出明清瓷器上
的传统文化和历史故事，为观
众和收藏爱好者提供了难得的观
赏古瓷藏品、了解传统文化的平台。",洛龙区和西街书香苑小区9号楼10层,河南省,洛阳市,2013/7/1,暂未找到,"
文化",0379—69921812,"瓷器是中国传统文化的载
体，是历史事件、历史人物
历史故事记录和描绘的媒介，如
五伦图、五福捧寿等传统文化，苏武牧羊
文王访贤等事件，“无双谱”、八仙等
人物，陶母教子、伯牙抚琴等历史
故事无不在古瓷器上有所体现。通过
瓷器这一载体和媒介，这些传统文化
和历史故事代代相传。特作为一个专题
展出，旨在传承和弘扬中国传统文化。其中6件明清展品被省文物局认定为国家三级文物","1、明清瓷器主要种类展，分青花瓷器、五彩瓷器、粉彩瓷器、浅绛彩瓷器、
广瓷瓷器、色釉瓷器等展出。
2、明代及明代以前瓷器展，
分明代早期、明代空白期、明代中期、明代晚期四个时期展出。
3、清代民国瓷器系列展，分罐子系列、盘子系列、瓶子系列等展出。
4、专题展：“代代相传的话题”——古瓷器上的传统文化和历史故事。",2000,"明代永乐孔雀绿釉瓷器
标本残盘","洛阳树威古瓷鉴藏博物馆收藏的这片明
代永乐孔雀绿釉瓷器标本盘子器形规整，釉色纯正，盘内心刻有三朵云纹，云纹外饰两条模压五爪龙，龙呈赶云行走状。五爪龙为皇宫享用纹饰，该标本显然是官窑瓷器。","上午9：00—12:00，下午
14：30—17:00，

全年开放（周一闭馆）",免费,1-2小时,四季皆宜,"市区可乘坐10路、79路
公交车",112.4374143,34.59994719,,,,,,,,,,,,,
洛阳古雒斋艺术博物馆,,"Luoyang Gulozhai Art Museum
","弘扬宣传河洛文化、组织各类社会教
育活动、举办传拓学习班、举办文化
讲座、学术沙龙、筹办富有地方特色的展览活动","洛阳市孟津县麻屯
镇（董村）金水大
道1号",河南省,洛阳市,暂未找到,600,"
文化",15038601177,"古雒斋艺术博物馆藏有一方珍贵的五代碑刻，后梁
故陈州刺史、赠司空王辂新茔记并尊胜陀罗尼经碣。墓主人葬于后梁开平四年五月七日（910年6月16日）享年55岁；墓志铭撰、书者济南伏琛；碑阳，大梁故王公新茔记；碑阴，佛顶尊胜经碣；碑高1.6米，碑宽65厘米，铁笔是有名的玉册官李延辉。碑侧；勾当茔庄、前陈州元从押衙马琮，同勾当十将赵洪。该碑个头硕大，书法优美，线刻飞天栩栩如生，志文补文献之阙。",藏中国古代名人墓志拓片312张，明、清及民国地契320余张和地方志书1500多册。,2112,窦牟墓志拓片,"该墓志于2005年12月在洛阳出土，志
题“唐故朝散大夫守国子司业上柱国扶风窦公墓志铭并序”，著名文学家、政治家韩愈撰文，窦庠书丹。该志史料价值很大，多补《昌黎先生集》之缺。窦牟，字贻周，其弟窦庠与韩愈都是中唐时期的著名诗人，全唐诗中保存有他们彼此唱和的精彩篇章。此志可见韩愈与窦氏兄弟之间交情深厚。","每天上午9:00—12：00，下午
14：00—17:00
全年开放（周一闭馆）

",凭身份证及有效证件免费参观,3-4小时,四季皆宜,"83路公交车隆华节能站
下车即到",112.3754077,34.76513179,,,,,,,,,,,,,
嵩县嵩州古灯博物馆,,"Songzhou Ancient Lantern Museu
m, Songxian County
","嵩州古灯博物馆（古灯斋）由王现
贞先生创办，始建2011年5月，现
有展品一千一百件。嵩县嵩州古灯
博物馆于2013年8月经过河南省文
物局考察、审核批准成立。",洛阳嵩县白云大道翠山街路口,河南省,洛阳市,2011/5/1,1000,"
文化",13938855656,"宋代青铜鹤衔灵芝烛台是宋代王爷们案
头上用的，古代的统治者认为有龙、凤、
鹤的灯等级较高，普通老百姓用不起。",以古灯为专题，收藏有古灯1100多盏，古灯年代从夏、商至明、清、民国等。材质分为石、陶、铁、铜、瓷、木、纸等50多个品种。造型各异，有童子举灯、升官灯、夫妻灯、鹤灯、行军灯、莲花灯等，呈现了一部历代灯具演变史。,1100,明三彩夫妻烛台,"明三彩夫妻烛台，王现贞认为其脚
踩青蛙，寓意多子多孙，手抱莲花
寓意百年好合。","上午8:00-12:00，下午14：00-18：
00
全年开放（周一闭馆）",凭身份证及有效证件免费参观,2-3小时,四季皆宜,"县城坐1，2路城市公交车
到花坛下车即到

",112.1005686,34.14231511,,,,,,,,,,,,,
新安县河洛当代碑林博物馆,,"Songzhou Ancient Lantern Museu
m, Songxian County
","洛阳河洛当代碑林博物馆位于新安县
北冶镇碾坪村，珍藏着百余块当代碑
刻，涵盖隶书、篆书、楷书、行书、
草书等字体，内容包括名家书法作品
及诗文名篇。洛阳河洛当代碑林博物
馆占地2.5亩，内墙四周为500米的碑廊。","洛阳市新安县北
冶镇碾坪村",河南省,洛阳市,2013年,1666,"
文化",13937952292,"碑廊除了刻石文字外，也不乏精美
的石刻壁画。敦煌莫高窟中
的“飞天”羽衣飘飘，吉祥天女
敦煌舞伎生动形象，壁画变成了碑刻，虽没
有颜色绚丽的霓裳羽衣，却有着立体
可见的灵动身姿。","珍藏着百余块当代碑刻，涵盖隶
书、篆书、楷书、行书、草书等
字体，内容包括名家书法作品及
诗文名篇",350,"北宋黄庭坚《砥柱铭》行
书刻石",黄庭坚是宋代四大书法家之一，他于1095年前后以行书抄录唐代魏征的《砥柱铭》，卷长8.24米，是黄庭坚书法的代表作之一。,"上午8：00—12：00，下午14：00
—18：00

全年开放（周一闭馆）

",凭身份证及有效证件免费参观,1小时内,四季皆宜,暂无,112.1406097,34.73438333,,,,,,,,,,,,,
